"x_value"	"section_area"	"total_area"
1.32	0.00168041901321693	0.40658065469522
1.33	0.00165838378557395	0.408239038480794
1.34	0.00163647385299305	0.409875512333787
1.35	0.00161469191283727	0.411490204246625
1.36	0.00159304058856151	0.413083244835186
1.37	0.00157152242965402	0.41465476726484
1.38	0.00155013991161527	0.416204907176455
1.39	0.00152889543597398	0.417733802612429
1.4	0.00150779133033953	0.419241593942769
1.41	0.0014868298484905	0.420728423791259
1.42	0.00146601317049852	0.422194436961758
1.43	0.00144534340288705	0.423639780364645
1.44	0.00142482257882451	0.425064602943469
1.45	0.001404452658351	0.42646905560182
1.46	0.00138423552863821	0.427853291130459
1.47	0.00136417300428177	0.42921746413474
1.48	0.00134426682762537	0.430561730962366
1.49	0.00132451866911617	0.431886249631482
1.5	0.00130493012769061	0.433191179759172
