"Country or Area","Year(s)","Variant","Value"
"World","2075","Medium","10577155.889"
"World","2075","High","12982285.327"
"World","2075","Low","8519364.457"
"World","2075","Constant fertility","14169301.853"
"World","2075","Instant replacement","10059879.491"
"World","2075","Zero migration","10569922.27"
"World","2075","Constant mortality","9454830.245"
"World","2075","No change","12644457.682"
"World","2075","Momentum","9318263.227"
"World","2074","Medium","10555327.277"
"World","2074","High","12884486.913"
"World","2074","Low","8553229.733"
"World","2074","Constant fertility","13973607.72"
"World","2074","Instant replacement","10042748.324"
"World","2074","Zero migration","10548611.467"
"World","2074","Constant mortality","9464672.339"
"World","2074","No change","12510052.061"
"World","2074","Momentum","9318459.789"
"World","2073","Medium","10532629.592"
"World","2073","High","12787029.434"
"World","2073","Low","8585801.027"
"World","2073","Constant fertility","13783555.658"
"World","2073","Instant replacement","10025035.056"
"World","2073","Zero migration","10526421.613"
"World","2073","Constant mortality","9473557.052"
"World","2073","No change","12379390.514"
"World","2073","Momentum","9318281.895"
"World","2072","Medium","10509046.182"
"World","2072","High","12689833.694"
"World","2072","Low","8617072.945"
"World","2072","Constant fertility","13598914.057"
"World","2072","Instant replacement","10006712.418"
"World","2072","Zero migration","10503333.268"
"World","2072","Constant mortality","9481447.2"
"World","2072","No change","12252313.239"
"World","2072","Momentum","9317677.105"
"World","2071","Medium","10484559.382"
"World","2071","High","12592807.476"
"World","2071","Low","8647043.985"
"World","2071","Constant fertility","13419453.757"
"World","2071","Instant replacement","9987756.678"
"World","2071","Zero migration","10479325.209"
"World","2071","Constant mortality","9488298.202"
"World","2071","No change","12128652.417"
"World","2071","Momentum","9316588.646"
"World","2070","Medium","10459152.507"
"World","2070","High","12495878.654"
"World","2070","Low","8675704.382"
"World","2070","Constant fertility","13244956.604"
"World","2070","Instant replacement","9968147.647"
"World","2070","Zero migration","10454378.271"
"World","2070","Constant mortality","9494067.796"
"World","2070","No change","12008249.802"
"World","2070","Momentum","9314966.804"
"World","2069","Medium","10432810.409"
"World","2069","High","12399017.407"
"World","2069","Low","8703027.115"
"World","2069","Constant fertility","13075219.894"
"World","2069","Instant replacement","9947857.374"
"World","2069","Zero migration","10428475.428"
"World","2069","Constant mortality","9498726.443"
"World","2069","No change","11890970.261"
"World","2069","Momentum","9312768.424"
"World","2068","Medium","10405519.682"
"World","2068","High","12302214.221"
"World","2068","Low","8728978.657"
"World","2068","Constant fertility","12910054.642"
"World","2068","Instant replacement","9926869.758"
"World","2068","Zero migration","10401602.814"
"World","2068","Constant mortality","9502245.512"
"World","2068","No change","11776688.112"
"World","2068","Momentum","9309963.491"
"World","2067","Medium","10377267.714"
"World","2067","High","12205445.362"
"World","2067","Low","8753531.666"
"World","2067","Constant fertility","12749280.104"
"World","2067","Instant replacement","9905190.529"
"World","2067","Zero migration","10373746.061"
"World","2067","Constant mortality","9504585.824"
"World","2067","No change","11665266.833"
"World","2067","Momentum","9306531.571"
"World","2066","Medium","10348042.081"
"World","2066","High","12108693.291"
"World","2066","Low","8776656.525"
"World","2066","Constant fertility","12592725.306"
"World","2066","Instant replacement","9882835.477"
"World","2066","Zero migration","10344891.992"
"World","2066","Constant mortality","9505705.914"
"World","2066","No change","11556572.543"
"World","2066","Momentum","9302459.548"
"World","2065","Medium","10317830.205"
"World","2065","High","12011953.374"
"World","2065","Low","8798317.005"
"World","2065","Constant fertility","12440224.909"
"World","2065","Instant replacement","9859811.209"
"World","2065","Zero migration","10315026.829"
"World","2065","Constant mortality","9505566.165"
"World","2065","No change","11450477.482"
"World","2065","Momentum","9297728.883"
"World","2064","Medium","10286615.746"
"World","2064","High","11915218.926"
"World","2064","Low","8818474.951"
"World","2064","Constant fertility","12291611.309"
"World","2064","Instant replacement","9836103.499"
"World","2064","Zero migration","10284133.88"
"World","2064","Constant mortality","9504130.238"
"World","2064","No change","11346859.124"
"World","2064","Momentum","9292305.277"
"World","2063","Medium","10254382.505"
"World","2063","High","11818509.289"
"World","2063","Low","8837078.833"
